Altium Designer Pick and Place Locations
D:\Onedrive\TBZ\TBZ\Projekt BMS LM - Dokumente\PCB\v1.0\BMA_Projektv1\PCB Project Outputs\Pick Place\Pick Place for BMA_pcbv1.0.txt

========================================================================================================================
File Design Information:

Date:       29.07.20
Time:       03:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
D8         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       175.1518     90.5866      180      ""                                                                                                                        
D7         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       175.1518     86.9866      180      ""                                                                                                                        
D6         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       165.0018     78.0116      180      ""                                                                                                                        
D5         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       135.0018     78.0116      180      ""                                                                                                                        
D4         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       105.0018     78.0116      180      ""                                                                                                                        
D3         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       75.0018      78.0116      180      ""                                                                                                                        
D2         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       45.0018      78.0116      180      ""                                                                                                                        
D1         67-23/R6GHBHC-B01/2T TopLayer    *PLCC-4                       15.0018      78.0116      180      ""                                                                                                                        
U6         BUTTON               TopLayer    RND_210-00206                 14.9852      89.9948      90       ""                                                                                                                        
U11        BUTTON               TopLayer    RND_210-00206                 164.9852     89.9948      90       ""                                                                                                                        
U10        BUTTON               TopLayer    RND_210-00206                 134.9852     89.9948      90       ""                                                                                                                        
U9         BUTTON               TopLayer    RND_210-00206                 104.9852     89.9948      90       ""                                                                                                                        
U8         BUTTON               TopLayer    RND_210-00206                 74.9852      89.9948      90       ""                                                                                                                        
U7         BUTTON               TopLayer    RND_210-00206                 44.9852      89.9948      90       ""                                                                                                                        
P27        "Header 7"           TopLayer    HDR1X7                        112.7100     6.2500       180      "Header, 7-Pin"                                                                                                           
U5         BUTTON_JOGPAD        TopLayer    JOGPAD_Button                 115.6500     44.5250      90       ""                                                                                                                        
U4         BUTTON_JOGPAD        TopLayer    JOGPAD_Button                 115.6500     32.0250      90       ""                                                                                                                        
U3         BUTTON_JOGPAD        TopLayer    JOGPAD_Button                 128.1500     44.5250      90       ""                                                                                                                        
U2         BUTTON_JOGPAD        TopLayer    JOGPAD_Button                 103.1500     44.5250      90       ""                                                                                                                        
U1         BUTTON_JOGPAD        TopLayer    JOGPAD_Button                 115.6500     57.0250      90       ""                                                                                                                        
Y1         26MHz                TopLayer    TSX-3225_2*2.5                89.6750      4.7250       180      "Industrial Ceramic Resonator"                                                                                            
U25        BUTTON               TopLayer    RND_210-00206                 75.7000      4.4500       360      ""                                                                                                                        
U24        STM32F407VET6        TopLayer    STM-LQFP100_M                 90.2370      15.6740      360       "ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 512 kB Flash, 192 kB Internal RAM, 82 I/Os, 100-pin LQFP, -40 to 85 degC, Tray" 
U23        reed_sensor          BottomLayer MK_65B                        165.0000     90.0000      90       ""                                                                                                                        
U22        reed_sensor          BottomLayer MK_65B                        135.0000     90.0000      90       ""                                                                                                                        
U21        reed_sensor          BottomLayer MK_65B                        105.0000     90.0000      90       ""                                                                                                                        
U20        reed_sensor          BottomLayer MK_65B                        75.0000      90.0000      90       ""                                                                                                                        
U19        reed_sensor          BottomLayer MK_65B                        45.0000      90.0000      90       ""                                                                                                                        
U18        reed_sensor          BottomLayer MK_65B                        15.0000      90.0000      90       ""                                                                                                                        
U17        TS1935BCX5           TopLayer    *SOT95P285X145-5N             143.3000     13.0750      90       "TS1935BCX5 Boost-Schaltregler Adj 1,9A 2,6-5,5Vi SOT23-5"                                                                
U16        UZ1084G-3.3V-TN3-R   TopLayer    TO-252-2                      114.6250     14.8500      180       "LINEAR VOLTAGE REGULATORS TO-252-2(DPAK) ROHS"                                                                           
U15        a4988_breakout       BottomLayer a4988_breakout                143.5000     39.4050      180      ""                                                                                                                        
U14        DRV8800PWPR          TopLayer    *SOP65P640X120-17N            161.4500     40.4000      360       ""                                                                                                                        
U13        TLC5971PWPR          TopLayer    PWP20_3P43X2P701              149.4000     72.0750      360      ""                                                                                                                        
U12        TLC5971PWPR          TopLayer    PWP20_3P43X2P701              60.4218      72.0750      360      ""                                                                                                                        
R32        10k                  TopLayer    RES_0603i_1608m_-N            83.3750      3.8750       180      Resistor                                                                                                                  
R31        10K                  TopLayer    RES_0603i_1608m_-N            36.1000      6.6750       360      Resistor                                                                                                                  
R30        10K                  TopLayer    RES_0603i_1608m_-N            36.1250      9.1750       360      Resistor                                                                                                                  
R29        10K                  TopLayer    RES_0603i_1608m_-N            36.1000      19.3000      180      Resistor                                                                                                                  
R28        10K                  TopLayer    RES_0603i_1608m_-N            36.1000      21.8750      360      Resistor                                                                                                                  
R27        10K                  TopLayer    RES_0603i_1608m_-N            36.0750      16.8000      360      Resistor                                                                                                                  
R26        10K                  TopLayer    RES_0603i_1608m_-N            36.0750      14.2250      360      Resistor                                                                                                                  
R25        1k                   TopLayer    RES_0603i_1608m_-N            52.1500      22.3350      90      Resistor                                                                                                                  
R24        1k                   TopLayer    RES_0603i_1608m_-N            53.8500      22.3350      90      Resistor                                                                                                                  
R23        2k                   TopLayer    RES_0603i_1608m_-N            149.0250     13.8250      270      Resistor                                                                                                                  
R22        54k                  TopLayer    RES_0603i_1608m_-N            147.3250     13.8250      90       ""                                                                                                                        
R21        470k                 TopLayer    RES_0603i_1608m_-N            148.1750     11.2750      180      ""                                                                                                                        
R20        1k                   TopLayer    RES_0603i_1608m_-N            129.6500     23.6500      90       Resistor                                                                                                                  
R19        15k                  TopLayer    RES_0603i_1608m_-N            132.8750     12.3250      90       ""                                                                                                                        
R18        10k                  TopLayer    RES_0603i_1608m_-N            134.6500     12.3000      90       ""                                                                                                                        
R17        1M                   TopLayer    RES_0603i_1608m_-N            143.2000     16.1000      360      ""                                                                                                                        
R16        1k                   TopLayer    RES_0603i_1608m_-N            134.6750     8.9750       90       Resistor                                                                                                                  
R15        1k                   TopLayer    RES_0603i_1608m_-N            66.3500      7.8350       90       Resistor                                                                                                                  
R14        15k                  TopLayer    RES_0603i_1608m_-N            64.6500      11.1350      90       ""                                                                                                                        
R13        10k                  TopLayer    RES_0603i_1608m_-N            66.3500      11.1350      90      ""                                                                                                                        
R12        1k                   TopLayer    RES_0603i_1608m_-N            112.0470     20.0110      360      Resistor                                                                                                                  
R11        5.1k                 TopLayer    RES_0603i_1608m_-N            126.9250     13.8250      360      ""                                                                                                                        
R10        5.1k                 TopLayer    RES_0603i_1608m_-N            126.1500     3.0000       270      Resistor                                                                                                                  
R9         5.1k                 TopLayer    RES_0603i_1608m_-N            57.4750      13.7850      360      ""                                                                                                                        
R8         5.1k                 TopLayer    RES_0603i_1608m_-N            56.7750      3.4000       90      Resistor                                                                                                                  
R7         3.4                  TopLayer    RES_1206i_C3216m_-N           165.8000     36.0750      90       Resistor                                                                                                                  
R6         10k                  TopLayer    RES_0603i_1608m_-N            161.4750     34.5000      270      Resistor                                                                                                                  
R5         3.4                  TopLayer    RES_1206i_C3216m_-N           168.2750     36.0750      90       Resistor                                                                                                                  
R4         3.4                  TopLayer    RES_1206i_C3216m_-N           170.8000     36.0750      90       Resistor                                                                                                                  
R3         10k                  TopLayer    RES_0603i_1608m_-N            157.6000     36.6750      270      Resistor                                                                                                                  
R2         5.1k                 TopLayer    RES_0603i_1608m_-N            142.9250     74.9750      0        Resistor                                                                                                                  
R1         5.1k                 TopLayer    RES_0603i_1608m_-N            54.0750      74.9750      0        Resistor                                                                                                                  
